"number" "dsum" "count" "missing" "quant_error" "fname"
272 1036.0 1036 3993534 0.0 "X:\Projects\bird_flu_surveillance\species\82845_Onychoprion_anaethetus.tif"
273 3798.0 3798 3990772 0.0 "X:\Projects\bird_flu_surveillance\species\82849_Sternula_albifrons.tif"
274 1973.0 1973 3992597 0.0 "X:\Projects\bird_flu_surveillance\species\829_Tringa_glareola.tif"
275 137903. 137903 3856667 0.0 "X:\Projects\bird_flu_surveillance\species\82926_Lophochroa_leadbeateri_leadbeateri.tif"
276 7853.0 7853 3986717 0.0 "X:\Projects\bird_flu_surveillance\species\82950_Sternula_nereis_nereis.tif"
277 16778.0 16778 3977792 0.0 "X:\Projects\bird_flu_surveillance\species\82954_Phascogale_pirata.tif"
278 362.0 362 3994208 0.0 "X:\Projects\bird_flu_surveillance\species\83000_Thalasseus_bergii.tif"
279 3268.0 3268 3991302 0.0 "X:\Projects\bird_flu_surveillance\species\83086_Antechinus_minimus_maritimus.tif"
280 63019.0 63019 3931551 0.0 "X:\Projects\bird_flu_surveillance\species\83091_Trichosurus_vulpecula_arnhemensis.tif"
281 262.0 262 3994308 0.0 "X:\Projects\bird_flu_surveillance\species\831_Tringa_incana.tif"
282 69665.0 69665 3924905 0.0 "X:\Projects\bird_flu_surveillance\species\832_Tringa_nebularia.tif"
